;;;;;;;;;;;;;x
return_cores_FRA_desc;We hold provinces that France has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_PRU_title;Return cores to Prussia ;;;;;;;;;;;;x,,
return_cores_PRU_desc;We hold provinces that Prussia has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_GER_title;Return cores to Germany ;;;;;;;;;;;;x,,
return_cores_GER_desc;We hold provinces that Germany has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_AUS_title;Return cores to Austria ;;;;;;;;;;;;x,,
return_cores_AUS_desc;We hold provinces that Austria has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_USA_title;Return cores to USA ;;;;;;;;;;;;x,,
return_cores_USA_desc;We hold provinces that USA has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_JAP_title;Return cores to Japan ;;;;;;;;;;;;x,,
return_cores_JAP_desc;We hold provinces that Japan has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_ITA_title;Return cores to Italy ;;;;;;;;;;;;x,,
return_cores_ITA_desc;We hold provinces that Italy has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_KUK_title;Return cores to Austria-Hungary ;;;;;;;;;;;;x,,
return_cores_KUK_desc;We hold provinces that Austria-Hungary has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_ISR_title;Return cores to Israel ;;;;;;;;;;;;x,,
return_cores_ISR_desc;We hold provinces that Israel has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_ICL_title;Return cores to Iceland ;;;;;;;;;;;;x,,
return_cores_ICL_desc;We hold provinces that Iceland has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_BYZ_title;Return cores to Byzantium ;;;;;;;;;;;;x,,
return_cores_BYZ_desc;We hold provinces that Byzantium has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_BAB_title;Return cores to Babylonia ;;;;;;;;;;;;x,,
return_cores_BAB_desc;We hold provinces that Babylonia has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_TPG_title;Return cores to Taiping ;;;;;;;;;;;;x,,
return_cores_TPG_desc;We hold provinces that Taiping has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_D01_title;Return cores to D01 ;;;;;;;;;;;;x,,
return_cores_D01_desc;We hold provinces that D01 has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_D02_title;Return cores to D02 ;;;;;;;;;;;;x,,
return_cores_D02_desc;We hold provinces that D02 has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_D03_title;Return cores to D03 ;;;;;;;;;;;;x,,
return_cores_D03_desc;We hold provinces that D03 has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_D04_title;Return cores to D04 ;;;;;;;;;;;;x,,
return_cores_D04_desc;We hold provinces that D04 has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_D05_title;Return cores to D05 ;;;;;;;;;;;;x,,
return_cores_D05_desc;We hold provinces that D05 has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_D06_title;Return cores to D06 ;;;;;;;;;;;;x,,
return_cores_D06_desc;We hold provinces that D06 has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_D07_title;Return cores to D07 ;;;;;;;;;;;;x,,
return_cores_D07_desc;We hold provinces that D07 has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_D08_title;Return cores to D08 ;;;;;;;;;;;;x,,
return_cores_D08_desc;We hold provinces that D08 has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_D09_title;Return cores to D09 ;;;;;;;;;;;;x,,
return_cores_D09_desc;We hold provinces that D09 has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_D10_title;Return cores to D10 ;;;;;;;;;;;;x,,
return_cores_D10_desc;We hold provinces that D10 has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_D11_title;Return cores to D11 ;;;;;;;;;;;;x,,
return_cores_D11_desc;We hold provinces that D11 has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_D12_title;Return cores to D12 ;;;;;;;;;;;;x,,
return_cores_D12_desc;We hold provinces that D12 has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_D13_title;Return cores to D13 ;;;;;;;;;;;;x,,
return_cores_D13_desc;We hold provinces that D13 has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_D14_title;Return cores to D14 ;;;;;;;;;;;;x,,
return_cores_D14_desc;We hold provinces that D14 has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_D15_title;Return cores to D15 ;;;;;;;;;;;;x,,
return_cores_D15_desc;We hold provinces that D15 has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_D16_title;Return cores to D16 ;;;;;;;;;;;;x,,
return_cores_D16_desc;We hold provinces that D16 has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_D17_title;Return cores to D17 ;;;;;;;;;;;;x,,
return_cores_D17_desc;We hold provinces that D17 has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_D18_title;Return cores to D18 ;;;;;;;;;;;;x,,
return_cores_D18_desc;We hold provinces that D18 has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_D19_title;Return cores to D19 ;;;;;;;;;;;;x,,
return_cores_D19_desc;We hold provinces that D19 has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_D20_title;Return cores to D20 ;;;;;;;;;;;;x,,
return_cores_D20_desc;We hold provinces that D20 has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_D21_title;Return cores to D21 ;;;;;;;;;;;;x,,
return_cores_D21_desc;We hold provinces that D21 has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_D22_title;Return cores to D22 ;;;;;;;;;;;;x,,
return_cores_D22_desc;We hold provinces that D22 has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_D23_title;Return cores to D23 ;;;;;;;;;;;;x,,
return_cores_D23_desc;We hold provinces that D23 has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_D24_title;Return cores to D24 ;;;;;;;;;;;;x,,
return_cores_D24_desc;We hold provinces that D24 has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_D25_title;Return cores to D25 ;;;;;;;;;;;;x,,
return_cores_D25_desc;We hold provinces that D25 has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_D26_title;Return cores to D26 ;;;;;;;;;;;;x,,
return_cores_D26_desc;We hold provinces that D26 has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_D27_title;Return cores to D27 ;;;;;;;;;;;;x,,
return_cores_D27_desc;We hold provinces that D27 has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_D28_title;Return cores to D28 ;;;;;;;;;;;;x,,
return_cores_D28_desc;We hold provinces that D28 has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_D29_title;Return cores to D29 ;;;;;;;;;;;;x,,
return_cores_D29_desc;We hold provinces that D29 has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_D30_title;Return cores to D30 ;;;;;;;;;;;;x,,
return_cores_D30_desc;We hold provinces that D30 has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_D31_title;Return cores to D31 ;;;;;;;;;;;;x,,
return_cores_D31_desc;We hold provinces that D31 has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_D32_title;Return cores to D32 ;;;;;;;;;;;;x,,
return_cores_D32_desc;We hold provinces that D32 has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_D33_title;Return cores to D33 ;;;;;;;;;;;;x,,
return_cores_D33_desc;We hold provinces that D33 has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_D34_title;Return cores to D34 ;;;;;;;;;;;;x,,
return_cores_D34_desc;We hold provinces that D34 has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_D35_title;Return cores to D35 ;;;;;;;;;;;;x,,
return_cores_D35_desc;We hold provinces that D35 has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_D36_title;Return cores to D36 ;;;;;;;;;;;;x,,
return_cores_D36_desc;We hold provinces that D36 has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_D37_title;Return cores to D37 ;;;;;;;;;;;;x,,
return_cores_D37_desc;We hold provinces that D37 has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_D38_title;Return cores to D38 ;;;;;;;;;;;;x,,
return_cores_D38_desc;We hold provinces that D38 has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_D39_title;Return cores to D39 ;;;;;;;;;;;;x,,
return_cores_D39_desc;We hold provinces that D39 has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_D40_title;Return cores to D40 ;;;;;;;;;;;;x,,
return_cores_D40_desc;We hold provinces that D40 has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_D41_title;Return cores to D41 ;;;;;;;;;;;;x,,
return_cores_D41_desc;We hold provinces that D41 has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_D42_title;Return cores to D42 ;;;;;;;;;;;;x,,
return_cores_D42_desc;We hold provinces that D42 has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_D43_title;Return cores to D43 ;;;;;;;;;;;;x,,
return_cores_D43_desc;We hold provinces that D43 has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_D44_title;Return cores to D44 ;;;;;;;;;;;;x,,
return_cores_D44_desc;We hold provinces that D44 has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_D45_title;Return cores to D45 ;;;;;;;;;;;;x,,
return_cores_D45_desc;We hold provinces that D45 has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_D46_title;Return cores to D46 ;;;;;;;;;;;;x,,
return_cores_D46_desc;We hold provinces that D46 has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_D47_title;Return cores to D47 ;;;;;;;;;;;;x,,
return_cores_D47_desc;We hold provinces that D47 has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_D48_title;Return cores to D48 ;;;;;;;;;;;;x,,
return_cores_D48_desc;We hold provinces that D48 has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_D49_title;Return cores to D49 ;;;;;;;;;;;;x,,
return_cores_D49_desc;We hold provinces that D49 has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_D50_title;Return cores to D50 ;;;;;;;;;;;;x,,
return_cores_D50_desc;We hold provinces that D50 has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
return_cores_NYC_title;Return cores to New York ;;;;;;;;;;;;x,,
return_cores_NYC_desc;We hold provinces that New York has claims on. Returning these provinces, as an act of good faith, would surely bolster our relations.;;;;;;;;;;;;x
